id; lamport; mensagem
2;1;Virtue is nothing else than right reaso
1;3;Happiness is the highest good
2;5;The unexamined life is not worth living
1;7;The function of prayer is not to influence God, but rather to change the nature of the one who prays
2;9;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
1;11;The greater the difficulty, the more glory in surmounting it
2;13;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
1;15;Only one man ever understood me, and he didnt understand me
2;17;One cannot step twice in the same river
1;19;The only thing I know is that I know nothing
2;21;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;23;If men were born free, they would, so long as they remained free, form no conception of good and evil
2;25;Nothing is as it seems, but something is everything it is made out to be
1;27;Man is born free, but is everywhere in chains
2;29;Nothing is as it seems, but something is everything it is made out to be
1;31;The unexamined life is not worth living
2;33;If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things
1;35;God is dead! He remains dead! And we have killed him
2;37;Nothing is as it seems, but something is everything it is made out to be
1;39;All that is necessary for the triumph of evil is that good men do nothing
2;41;The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short
1;43;Entities should not be multiplied unnecessarily
2;45;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;47;We live in the best of all possible worlds
2;49;No man's knowledge here can go beyond his experience
1;51;All is for the best in the best of all possible worlds
2;53;What is rational is actual and what is actual is rational
1;55;The greater the difficulty, the more glory in surmounting it
2;57;Man is condemned to be free
1;59;All great thinkers are initially ridiculed  and eventually revered
2;61;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;63;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;65;We are what we repeatedly do. Excellence, then, is not an act, but a habit
1;67;The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short
2;69;The unexamined life is not worth living
1;71;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;73;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
1;75;One cannot step twice in the same river
2;77;Things alter for the worse spontaneously, if they be not altered for the better designedly
1;79;Entities should not be multiplied unnecessarily
2;81;Philosophy is a battle against the bewitchment of our intelligence by means of language
1;83;We are too weak to discover the truth by reason alone
2;85;Nothing is as it seems, but something is everything it is made out to be
1;87;Even while they teach, men learn
2;89;No man's knowledge here can go beyond his experience
1;91;That man is wisest who, like Socrates, realizes that his wisdom is worthless
2;93;Serious thinkers are few, and the world is ruled by crude ideas
1;95;All is for the best in the best of all possible worlds
2;97;Only one man ever understood me, and he didnt understand me
1;99;The brave man is he who overcomes not only his enemies but his pleasures
2;101;Philosophy is a battle against the bewitchment of our intelligence by means of language
1;103;Only weak thinkers do not love the sky
2;105;Good and evil, reward and punishment, are the only motives to a rational creature
1;107;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
2;109;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
1;111;We are too weak to discover the truth by reason alone
2;113;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;115;Things alter for the worse spontaneously, if they be not altered for the better designedly
2;117;God is dead! He remains dead! And we have killed him
1;119;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
2;121;No man's knowledge here can go beyond his experience
1;123;Virtue is nothing else than right reaso
2;125;He who thinks great thoughts, often makes great errors
1;127;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
2;129;In everything, there is a share of everything
1;131;Is man merely a mistake of God's? Or God merely a mistake of man's
2;133;He who thinks great thoughts, often makes great errors
1;135;Science is what you know. Philosophy is what you don't know
2;137;There is but one truly serious philosophical problem, and that is suicide
1;139;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
2;141;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
1;143;I can control my passions and emotions if I can understand their nature
2;145;I think therefore I am
1;147;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;149;Leisure is the mother of philosophy
1;151;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
2;153;The mind is furnished with ideas by experience alone
1;155;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
2;157;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
1;159;Life must be understood backward. But it must be lived forward
2;161;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;163;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
2;165;There is only one good, knowledge, and one evil, ignorance
1;167;Happiness is the highest good
2;169;The unexamined life is not worth living
1;171;Science is what you know. Philosophy is what you don't know
2;173;Whereof one cannot speak, thereof one must be silent
1;175;Good and evil, reward and punishment, are the only motives to a rational creature
2;177;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
1;179;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
2;181;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
1;183;I would never die for my beliefs because I might be wrong
2;185;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;187;To be is to be perceived
2;189;What is rational is actual and what is actual is rational
1;191;What is rational is actual and what is actual is rational
2;193;It is the job of thinking people not to be on the side of the executioners
1;195;I think therefore I am
2;197;The brave man is he who overcomes not only his enemies but his pleasures
1;199;Happiness is the highest good
2;201;All that is necessary for the triumph of evil is that good men do nothing
1;203;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
2;205;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
1;207;Happiness is the highest good
2;209;Virtue is nothing else than right reaso
1;211;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;213;The greater the difficulty, the more glory in surmounting it
1;215;Salvation not shared, is salvation wasted
2;217;All great thinkers are initially ridiculed  and eventually revered
1;219;Even while they teach, men learn
2;221;Philosophy is at once the most sublime and the most trivial of human pursuits
1;223;If men were born free, they would, so long as they remained free, form no conception of good and evil
2;225;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
1;227;Serious thinkers are few, and the world is ruled by crude ideas
2;229;He who thinks great thoughts, often makes great errors
1;231;Good and evil, reward and punishment, are the only motives to a rational creature
2;233;He who thinks great thoughts, often makes great errors
1;235;God is dead! He remains dead! And we have killed him
2;237;Only weak thinkers do not love the sky
1;239;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
2;241;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;243;The brave man is he who overcomes not only his enemies but his pleasures
2;245;The mind is furnished with ideas by experience alon
1;247;There is but one truly serious philosophical problem, and that is suicide
2;249;To be is to be perceived
1;251;Whereof one cannot speak, thereof one must be silent
2;253;The only thing I know is that I know nothing
1;255;History honors the unique minority the majority cannot forget
2;257;It is the job of thinking people not to be on the side of the executioners
1;259;There is but one truly serious philosophical problem, and that is suicide
2;261;Leisure is the mother of philosophy
1;263;If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things
2;265;All that is necessary for the triumph of evil is that good men do nothing
1;267;We live in the best of all possible worlds
2;269;The brave man is he who overcomes not only his enemies but his pleasures
1;271;Only one man ever understood me, and he didnt understand me
2;273;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
1;275;The brave man is he who overcomes not only his enemies but his pleasures
2;277;It is the job of thinking people not to be on the side of the executioners
1;279;Happiness is the highest good
2;281;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
1;283;What is rational is actual and what is actual is rational
2;285;History is Philosophy teaching by examples
1;287;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
2;289;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;291;Whereof one cannot speak, thereof one must be silent
2;293;The greater the difficulty, the more glory in surmounting it
